Submission Date,Expenditure,Quantity,Price,Outlier,Purpose,Usage,Source,Sex at birth,First time,Legal status,Consumption,Census subdivision,Census division,Economic region,Province,Census metropolitan area
2018-01-25,8,1,8,0,Medicate - with a medical document,Daily,,,,,14,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,1,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,28,Sept-Îles,Sept-Rivières--Caniapiscau,Côte-Nord,Quebec / Québec,24 - NonCMA
2018-01-25,6,1,6,0,Use recreationally,Daily,,,,,5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Toronto,Toronto,Toronto,Ontario,Toronto
2018-01-25,5,1,5,0,Use recreationally,A few times per week,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,7,1,7,0,Use recreationally,A few times a year,,,,,0.2,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,8,1,8,0,Medicate - without a medical document,A few times per month,,,,,28,Bécancour,Bécancour,Centre-du-Québec,Quebec / Québec,Trois-Rivières
2018-01-25,15,1,15,0,Use recreationally,A few times per month,,,,,3.5,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,4,1,4,0,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Alma,Lac-Saint-Jean-Est,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,1,Sherbrooke,Sherbrooke,Estrie,Quebec / Québec,Sherbrooke
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,1,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,7.5,1,7.5,0,Medicate - with a medical document,Daily,,,,,28,London,Middlesex,London,Ontario,London
2018-01-25,8,1,8,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,7,1,7,0,Use recreationally,Daily,,,,,14,Mont-Laurier,Antoine-Labelle,Laurentides,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,28,La Tuque,La Tuque,Mauricie,Quebec / Québec,24 - NonCMA
2018-01-25,6.5,1,6.5,0,Use recreationally,A few times a year,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,1,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,4,1,4,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,7,1,7,0,Medicate - without a medical document,,,,,,,Sherbrooke,Sherbrooke,Estrie,Quebec / Québec,Sherbrooke
2018-01-25,4.46,1,4.46,0,Use recreationally,Daily,,,,,112,Granby,La Haute-Yamaska,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,14,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,5,1,5,0,Use recreationally,A few times a year,,,,,0.5,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,5,1,5,0,Use recreationally,A few times a year,,,,,0.25,Kitimat,Kitimat-Stikine,North Coast / Côte-nord,British Columbia / Colombie-Britannique,59 - NonCMA
2018-01-25,6.5,1,6.5,0,Medicate - without a medical document,Daily,,,,,0.5,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,8,1,8,0,Use recreationally,A few times per month,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,3.5,Boisbriand,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,14,Boisbriand,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.1,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,1,Roberval,Le Domaine-du-Roy,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Use recreationally,,,,,,,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,28,Saint-Hyacinthe,Les Maskoutains,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,4.5,1,4.5,0,Use recreationally,A few times per month,,,,,3.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,28,Saint-Hyacinthe,Les Maskoutains,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,7.5,1,7.5,0,Use recreationally,,,,,,,Trois-Rivières,Francheville,Mauricie,Quebec / Québec,Trois-Rivières
2018-01-25,10,1,10,0,Medicate - without a medical document,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,4.2,1,4.2,0,Use recreationally,Daily,,,,,28,Drummondville,Drummond,Centre-du-Québec,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,,,,,,,Roberval,Le Domaine-du-Roy,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,12,1,12,0,Use recreationally,A few times per week,,,,,0.5,North Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,0.5,Alma,Lac-Saint-Jean-Est,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,1,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,12,1,12,0,Use recreationally,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,1,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,5,1,5,0,Use recreationally,A few times a year,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,7,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,85,Alma,Lac-Saint-Jean-Est,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,1,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,28,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,7.14,1,7.14,0,Use recreationally,Daily,,,,,14,Sacré-Coeur,La Haute-Côte-Nord,Côte-Nord,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,3.5,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,14,Saint-Joseph-de-Sorel,Pierre-De Saurel,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,,Alma,Lac-Saint-Jean-Est,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,,La Pêche,Les Collines-de-l'Outaouais,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,7,1,7,0,Medicate - without a medical document,Daily,,,,,28,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,8,1,8,0,Use recreationally,A few times a year,,,,,0.5,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,0.5,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,8,1,8,0,Medicate - without a medical document,A few times per month,,,,,7,Waterloo,Waterloo,Kitchener--Waterloo--Barrie,Ontario,Kitchener - Cambridge - Waterloo
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,10,1,10,0,Medicate - without a medical document,A few times per week,,,,,3.5,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
2018-01-25,8,1,8,0,Medicate - with a medical document,,,,,,,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,0.25,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,1,Repentigny,L'Assomption,Lanaudière,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Sherbrooke,Sherbrooke,Estrie,Quebec / Québec,Sherbrooke
2018-01-25,9,1,9,0,Use recreationally,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,14,1,14,0,Use recreationally,Daily,,,,,40,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Medicate - without a medical document,Daily,,,,,7,Sorel-Tracy,Pierre-De Saurel,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,0.5,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
2018-01-25,10,1,10,0,Medicate - with a medical document,Daily,,,,,28,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,2,1,2,0,Use recreationally,Daily,,,,,28,Sainte-Thérèse,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
2018-01-25,6,1,6,0,Medicate - with a medical document,Daily,,,,,28,Saint John,Saint John,Saint John--St. Stephen,New Brunswick / Nouveau-Brunswick,Saint John
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,150,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,11,1,11,0,Use recreationally,A few times a year,,,,,1,Beauceville,Robert-Cliche,Chaudière-Appalaches,Quebec / Québec,24 - NonCMA
2018-01-25,5.25,1,5.25,0,Use recreationally,Daily,,,,,112,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Sept-Îles,Sept-Rivières--Caniapiscau,Côte-Nord,Quebec / Québec,24 - NonCMA
2018-01-25,7,1,7,0,Use recreationally,,,,,,,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Saint-Alphonse-de-Granby,La Haute-Yamaska,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,3,1,3,0,Use recreationally,Daily,,,,,28,Mirabel,Mirabel,Laurentides,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,3.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,5,1,5,0,Use recreationally,A few times a year,,,,,1,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,1,Chibougamau,Nord-du-Québec,Nord-du-Québec,Quebec / Québec,24 - NonCMA
2018-01-25,15,1,15,0,Use recreationally,,,,,,,Amos,Abitibi,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,,,,,,,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,7,1,7,0,Use recreationally,,,,,,,Shawinigan,Shawinigan,Mauricie,Quebec / Québec,24 - NonCMA
2018-01-25,8,1,8,0,Medicate - with a medical document,Daily,,,,,28,Cremona,Division No.  6,Calgary,Alberta,48 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,1,Lévis,Lévis,Chaudière-Appalaches,Quebec / Québec,Québec
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,8.5,1,8.5,0,Medicate - with a medical document,Daily,,,,,7,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
2018-01-25,5,1,5,0,Use recreationally,A few times per week,,,,,14,Moncton,Westmorland,Moncton--Richibucto,New Brunswick / Nouveau-Brunswick,Moncton
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,112,Joliette,Joliette,Lanaudière,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Medicate - without a medical document,Daily,,,,,0.5,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,6,1,6,0,Use recreationally,A few times per month,,,,,3.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,6,1,6,0,Use recreationally,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,2.83,1,2.83,0,Medicate - without a medical document,Daily,,,,,0.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Medicate - without a medical document,A few times per month,,,,,1,Toronto,Toronto,Toronto,Ontario,Toronto
2018-01-25,11,1,11,0,Use recreationally,A few times per week,,,,,0.5,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,8,1,8,0,Use recreationally,A few times a year,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,7,1,7,0,Use recreationally,A few times per week,,,,,1,Saint-Amable,Marguerite-D'Youville,Montérégie,Quebec / Québec,Montréal
2018-01-25,12,1,12,0,Use recreationally,Daily,,,,,28,Calgary,Division No.  6,Calgary,Alberta,Calgary
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,28,Dolbeau-Mistassini,Maria-Chapdelaine,Saguenay--Lac-Saint-Jean,Quebec / Québec,24 - NonCMA
2018-01-25,6,1,6,0,Use recreationally,A few times per month,,,,,3.5,Edmundston,Madawaska,Edmundston--Woodstock,New Brunswick / Nouveau-Brunswick,13 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,3.5,Brampton,Peel,Toronto,Ontario,Toronto
2018-01-25,8,1,8,0,Use recreationally,,,,,,,Blainville,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,28,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,8,1,8,0,Medicate - with a medical document,,,,,,,Greater Vancouver A,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,1,Boisbriand,Thérèse-De Blainville,Laurentides,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Sorel-Tracy,Pierre-De Saurel,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,7.5,1,7.5,0,Use recreationally,A few times a year,,,,,,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,12.5,1,12.5,0,Medicate - with a medical document,A few times per week,,,,,14,Greater Vancouver A,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,9,1,9,0,Use recreationally,A few times per month,,,,,3.5,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,14,1,14,0,Use recreationally,Daily,,,,,28,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
2018-01-25,13,1,13,0,Medicate - with a medical document,Daily,,,,,28,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
2018-01-25,12,1,12,0,Medicate - without a medical document,Daily,,,,,28,Saint-Victor,Robert-Cliche,Chaudière-Appalaches,Quebec / Québec,24 - NonCMA
2018-01-25,9,1,9,0,Use recreationally,Daily,,,,,1,Queens,Queens,Southern / Sud,Nova Scotia / Nouvelle-Écosse,12 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,1,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,15,1,15,0,Use recreationally,Daily,,,,,28,Calgary,Division No.  6,Calgary,Alberta,Calgary
2018-01-25,7,1,7,0,Use recreationally,A few times per week,,,,,14,Fermont,Sept-Rivières--Caniapiscau,Côte-Nord,Quebec / Québec,24 - NonCMA
2018-01-25,8,1,8,0,Use recreationally,A few times per week,,,,,7,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,12,1,12,0,Use recreationally,A few times per month,,,,,7,Calgary,Division No.  6,Calgary,Alberta,Calgary
2018-01-25,5,1,5,0,Use recreationally,,,,,,,Lévis,Lévis,Chaudière-Appalaches,Quebec / Québec,Québec
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Toronto,Toronto,Toronto,Ontario,Toronto
2018-01-25,6,1,6,0,Use recreationally,,,,,,,Venise-en-Québec,Le Haut-Richelieu,Montérégie,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Fredericton,York,Fredericton--Oromocto,New Brunswick / Nouveau-Brunswick,13 - NonCMA
2018-01-25,8,1,8,0,Use recreationally,A few times a year,,,,,,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,5,1,5,0,Medicate - without a medical document,,,,,,,Magog,Memphrémagog,Estrie,Quebec / Québec,Sherbrooke
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,3.5,Hamilton,Hamilton,Hamilton--Niagara Peninsula,Ontario,Hamilton
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,7,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,3.5,Halifax,Halifax,Halifax,Nova Scotia / Nouvelle-Écosse,Halifax
2018-01-25,10,1,10,0,Medicate - with a medical document,A few times per month,,,,,28,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,7,1,7,0,Use recreationally,,,,,,,Sherbrooke,Sherbrooke,Estrie,Quebec / Québec,Sherbrooke
2018-01-25,15,1,15,0,Medicate - without a medical document,A few times per month,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,5,1,5,0,Use recreationally,A few times a year,,,,,0.5,Saint-Constant,Roussillon,Montérégie,Quebec / Québec,Montréal
2018-01-25,14,1,14,0,Use recreationally,Daily,,,,,14,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,3.5,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,10,1,10,0,Medicate - with a medical document,Daily,,,,,100,Amherstburg,Essex,Windsor--Sarnia,Ontario,Windsor
2018-01-25,6,1,6,0,Medicate - without a medical document,A few times per month,,,,,14,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
2018-01-25,10,1,10,0,Use recreationally,A few times per week,,,,,7,Joliette,Joliette,Lanaudière,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,A few times per month,,,,,1,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
2018-01-25,10,1,10,0,Medicate - without a medical document,A few times per week,,,,,3.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,15,1,15,0,Medicate - with a medical document,,,,,,,Edmonton,Division No. 11,Edmonton,Alberta,Edmonton
2018-01-25,4.5,1,4.5,0,Use recreationally,,,,,,,Toronto,Toronto,Toronto,Ontario,Toronto
2018-01-25,8,1,8,0,Use recreationally,Daily,,,,,0.5,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,11,1,11,0,Medicate - with a medical document,Daily,,,,,4,Victoria,Capital,Vancouver Island and Coast / Île de Vancouver et la côte,British Columbia / Colombie-Britannique,Victoria
2018-01-25,15,1,15,0,Use recreationally,A few times per month,,,,,1,Deux-Montagnes,Deux-Montagnes,Laurentides,Quebec / Québec,Montréal
2018-01-25,4,1,4,0,Use recreationally,A few times a year,,,,,0.5,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,10,1,10,0,Use recreationally,Daily,,,,,,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,8,1,8,0,Use recreationally,A few times a year,,,,,0.5,Québec,Québec,Capitale-Nationale,Quebec / Québec,Québec
